Tree_ID,Date_Modif,Species_ID,Name_Botan,Name_Commo,Height_Gro,Height_Min,Height_Max,DBH_Group,DBH_Min,DBH_Max,District,Address,Street,On_Address,On_Street,Tree_Numbe,Location_D,Census_Tra,california,long_NAD83,lat_nad83
10933874,11/5/2020 9:40,67,Corymbia citriodora,Lemon-Scented Gum,1,1,15,1,0,6,12,1345,16TH ST,1345,16TH ST,2,Front,8,364,362972.4789,3766040.859
10933875,11/5/2020 9:40,67,Corymbia citriodora,Lemon-Scented Gum,1,1,15,1,0,6,12,1345,16TH ST,1345,16TH ST,1,Front,8,364,362960.8026,3766055.984
10922446,11/4/2020 14:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,4,19,24,14,3131,ARIZONA AV,3131,ARIZONA AV,3,Front,10,364,364266.8917,3767471.221
10922445,11/4/2020 14:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,4,19,24,14,3131,ARIZONA AV,3131,ARIZONA AV,2,Front,10,364,364253.3914,3767460.504
10934633,11/4/2020 14:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,14,1253,FRANKLIN ST,3201,ARIZONA AV,3,Side,10,364,364310.4309,3767516.264
10922444,11/4/2020 14:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,14,3131,ARIZONA AV,3131,ARIZONA AV,1,Front,10,364,364243.3403,3767451.865
10934634,11/4/2020 14:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,14,1253,FRANKLIN ST,3201,ARIZONA AV,2,Side,10,364,364298.2277,3767504.707
10934635,11/4/2020 14:27,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,4,19,24,14,1253,FRANKLIN ST,3201,ARIZONA AV,1,Side,10,364,364289.7559,3767495.633
10946381,10/23/2020 16:09,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,20,1103,MAPLE ST,2455,11TH ST,3,Side,18,363,363834.7661,3764168.819
10916131,10/15/2020 16:08,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,5,60,0,4,19,24,10,1315,5TH ST,1315,5TH ST,1,Front,15,368,361949.5229,3765171.504
10920400,10/9/2020 14:13,182,Juniperus chinensis 'Torulosa',Hollywood Juniper,2,15,30,4,19,24,8,1204,CALIFORNIA AV,1103,12TH ST,2,Side,7,365,362247.3688,3766096.527
10920401,10/9/2020 14:13,125,Pittosporum undulatum,Victorian Box,2,15,30,3,13,18,8,1204,CALIFORNIA AV,1103,12TH ST,1,Side,7,365,362238.0109,3766105.677
10920396,10/9/2020 14:07,22,Schinus molle,California Pepper,2,15,30,2,7,12,8,1117,12TH ST,1117,12TH ST,1,Front,7,365,362266.9812,3766074.513
10920394,10/9/2020 14:07,22,Schinus molle,California Pepper,2,15,30,2,7,12,8,1123,12TH ST,1123,12TH ST,2,Front,7,365,362282.2883,3766059.364
10920398,10/9/2020 14:07,22,Schinus molle,California Pepper,2,15,30,2,7,12,8,1111,12TH ST,1111,12TH ST,1,Front,7,365,362260.7481,3766081.682
10920395,10/9/2020 14:07,22,Schinus molle,California Pepper,2,15,30,2,7,12,8,1123,12TH ST,1123,12TH ST,3,Front,7,365,362284.7099,3766056.056
