OBJECTID,id,created,updated,source,species,family,genus,native_ran,max_height,tree_shape,foliage_ty,density_in,longevity,dbh_lo,dbh_hi,height_lo,height_hi,stems,trunks,canopy,zip,place,county,cz,lat_NAD83,long_NAD83
"499257","2518697",,,WCA,Lophostemon confertus,Myrtaceae,Lophostemon,Australia,50.00000000000,Oval or Rounded,Evergreen,Moderately Dense,Average,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3742904.9909999999,401100.4158000000
"5504919","2518497",,,WCA,Koelreuteria bipinnata,Sapindaceae,Koelreuteria,Asia,40.00000000000,"Rounded, Umbrella or Vase",Deciduous,Moderate,Average,31.00000000000,0.00000000000,30.00000000000,45.00000000000,,,,90810.00000000000,Long Beach,Los Angeles,Southern California Coast,3742976.2999999998,388005.3845000000
"380490","2519915",,,WCA,Liquidambar styraciflua,Altingiaceae,Liquidambar,North America,66.00000000000,Conical,Deciduous,Moderate,Very Long,13.00000000000,18.00000000000,45.00000000000,60.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3748535.6499999999,389199.8967000000
"2675752","2555020",,,WCA,Jacaranda mimosifolia,Bignoniaceae,Jacaranda,South America,50.00000000000,"Oval, Rounded or Umbrella",Deciduous to Partly Deciduous,Moderately Low,Moderately Short,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,90815.00000000000,Long Beach,Los Angeles,Southern California Coast,3739553.7270000000,396451.0133000000
"1556987","2536559",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,19.00000000000,24.00000000000,60.00000000000,0.00000000000,,,,90803.00000000000,Long Beach,Los Angeles,Southern California Coast,3736521.6719999998,394265.5338000000
"378439","2556467",,,WCA,Schinus molle,Anacardiaceae,Schinus,South America,50.00000000000,Rounded or Umbrella,Evergreen,Moderate to Dense,Average,31.00000000000,0.00000000000,30.00000000000,45.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3744600.9929999998,394396.5222000000
"2629190","2553616",,,WCA,Searsia lancea,Anacardiaceae,Searsia,Africa,30.00000000000,Rounded or Umbrella,Evergreen,Moderately Dense,Average,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,90815.00000000000,Long Beach,Los Angeles,Southern California Coast,3740967.6050000000,396625.7230000000
"4930747","2508468",,,WCA,Cupaniopsis anacardioides,Sapindaceae,Cupaniopsis,Australia,40.00000000000,Oval,Evergreen,Moderate,Average,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,90813.00000000000,Long Beach,Los Angeles,Southern California Coast,3738459.6660000002,391704.4636000000
"3779317","2515367",,,WCA,Fraxinus velutina,Oleaceae,Fraxinus,North America,50.00000000000,Oval or Umbrella,Deciduous,Moderate,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,90807.00000000000,Long Beach,Los Angeles,Southern California Coast,3743974.7300000000,390992.0635000000
"3204839","2595356",,,WCA,Phoenix canariensis,Arecaceae,Phoenix,Europe and North Africa,60.00000000000,Feather Palm,Evergreen,Moderately Low,Average,25.00000000000,30.00000000000,45.00000000000,60.00000000000,,,,90806.00000000000,Long Beach,Los Angeles,Southern California Coast,3740693.7330000000,388535.8247000000
"982696","2564582",,,WCA,Lophostemon confertus,Myrtaceae,Lophostemon,Australia,50.00000000000,Oval or Rounded,Evergreen,Moderately Dense,Average,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3747555.2110000001,393537.4533000000
"3368256","2581864",,,WCA,Ulmus crassifolia,Ulmaceae,Ulmus,North America,66.00000000000,Rounded or Vase,Deciduous,Moderate to Moderately Dense,,25.00000000000,30.00000000000,30.00000000000,45.00000000000,,,,90815.00000000000,Long Beach,Los Angeles,Southern California Coast,3740343.0219999999,393695.8103000000
"1525919","5538038",,,WCA,Fraxinus uhdei,Oleaceae,Fraxinus,North America,66.00000000000,Oval,Evergreen to Partly Deciduous,Moderately Dense,Average,25.00000000000,30.00000000000,60.00000000000,0.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3741996.6690000002,399511.9396000000
"1071617","2565609",,,WCA,Corymbia citriodora,Myrtaceae,Corymbia,Australia,66.00000000000,Oval,Evergreen,Moderate,Average,13.00000000000,18.00000000000,45.00000000000,60.00000000000,,,,90810.00000000000,Long Beach,Los Angeles,Southern California Coast,3739789.4190000002,387480.2617000000
"5550115","2539399",,,WCA,Koelreuteria bipinnata,Sapindaceae,Koelreuteria,Asia,40.00000000000,"Rounded, Umbrella or Vase",Deciduous,Moderate,Average,7.00000000000,12.00000000000,30.00000000000,45.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3748614.3339999998,389326.3379000000
"3251192","2534507",,,WCA,Syagrus romanzoffiana,Arecaceae,Syagrus,South America,50.00000000000,Feather Palm,Evergreen,Low to Moderately Low,Average,13.00000000000,18.00000000000,1.00000000000,15.00000000000,,,,90807.00000000000,Long Beach,Los Angeles,Southern California Coast,3745554.4240000001,390490.6650000000
"2102101","2553547",,,WCA,Schinus terebinthifolia,Anacardiaceae,Schinus,South America,30.00000000000,Umbrella,Evergreen,Moderately Dense,Average,31.00000000000,0.00000000000,30.00000000000,45.00000000000,,,,90815.00000000000,Long Beach,Los Angeles,Southern California Coast,3741027.4330000002,396676.6594000000
"5668961","2573133",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,19.00000000000,24.00000000000,45.00000000000,60.00000000000,,,,90802.00000000000,Long Beach,Los Angeles,Southern California Coast,3736607.9380000001,391975.8427000000
"2675621","2531201",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,13.00000000000,18.00000000000,60.00000000000,0.00000000000,,,,90803.00000000000,Long Beach,Los Angeles,Southern California Coast,3736534.7170000002,394378.2684000000
"2054933","2507783",,,WCA,Ficus microcarpa,Moraceae,Ficus,Asia,25.00000000000,Oval or Rounded,Evergreen,Dense,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,90802.00000000000,Long Beach,Los Angeles,Southern California Coast,3737763.4449999998,389422.2978000000
"3779154","2562209",,,WCA,Ulmus parvifolia,Ulmaceae,Ulmus,Asia,45.00000000000,"Oval, Rounded or Umbrella",Evergreen to Partly Deciduous,Moderate,Average,25.00000000000,30.00000000000,30.00000000000,45.00000000000,,,,90815.00000000000,Long Beach,Los Angeles,Southern California Coast,3738722.0329999998,398334.4883000001
"409954","2531205",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,13.00000000000,18.00000000000,60.00000000000,0.00000000000,,,,90803.00000000000,Long Beach,Los Angeles,Southern California Coast,3736520.4160000002,394371.9076000000
"2675231","2564489",,,WCA,Afrocarpus falcatus,Podocarpaceae,Afrocarpus,Africa,65.00000000000,Oval or Rounded,Evergreen,Moderately Dense,Very Long,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3747687.0680000000,393450.7779000000
