id,created,updated,source,species,family,genus,native_ran,max_height,tree_shape,foliage_ty,density_in,longevity,dbh_lo,dbh_hi,height_lo,height_hi,stems,trunks,canopy,zip,place,county,cz,POINT_X,POINT_Y
"5778099",,,WCA,Afrocarpus falcatus,Podocarpaceae,Afrocarpus,Africa,65.00000000000,Oval or Rounded,Evergreen,Moderately Dense,Very Long,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,464940.92773800000,3752762.92125000013
"5732158",,,WCA,Washingtonia robusta,Arecaceae,Washingtonia,North America,66.00000000000,Fan Palm,Evergreen,Dense,Average,19.00000000000,24.00000000000,45.00000000000,60.00000000000,,,,92505.00000000000,Riverside,Riverside,Inland Empire,457665.66046099999,3751865.89804999996
"5788654",,,WCA,Fraxinus angustifolia,Oleaceae,Fraxinus,Europe and Asia,50.00000000000,Oval or Rounded,Deciduous,Moderately Dense,Average,7.00000000000,12.00000000000,30.00000000000,45.00000000000,,,,92508.00000000000,Riverside,Riverside,Inland Empire,470907.21774599998,3749120.46063000010
"5243853",,,WCA,Jacaranda mimosifolia,Bignoniaceae,Jacaranda,South America,50.00000000000,"Oval, Rounded or Umbrella",Deciduous to Partly Deciduous,Moderately Low,Moderately Short,19.00000000000,24.00000000000,45.00000000000,60.00000000000,,,,92501.00000000000,Riverside,Riverside,Inland Empire,464907.47650799999,3759816.80611999985
"5711567",,,WCA,Handroanthus impetiginosus,Bignoniaceae,Handroanthus,North and South America,25.00000000000,Rounded,Partly Deciduous,Low to Moderately Low,,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,463872.14289500000,3757880.66902999999
"5225104",,,WCA,Fraxinus uhdei,Oleaceae,Fraxinus,North America,66.00000000000,Oval,Evergreen to Partly Deciduous,Moderately Dense,Average,19.00000000000,24.00000000000,60.00000000000,0.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,462997.09948400001,3759000.51220000023
"5416715",,,WCA,Celtis sinensis,Cannabaceae,Celtis,Asia,65.00000000000,Rounded or Umbrella,Deciduous,Dense,Very Long,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,456813.23217099998,3755606.56399000017
"5730505",,,WCA,Cercis canadensis,Fabaceae,Cercis,North America,35.00000000000,Rounded or Umbrella,Deciduous,Moderate,Average / Moderately Short,0.00000000000,6.00000000000,1.00000000000,15.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,462960.94123000000,3759000.53244000021
"5742814",,,WCA,Quercus virginiana,Fagaceae,Quercus,North America,66.00000000000,"Oval, Rounded or Umbrella",Evergreen to Partly Deciduous,Moderate,Very Long,19.00000000000,24.00000000000,30.00000000000,45.00000000000,,,,92507.00000000000,Riverside,Riverside,Inland Empire,467317.72277300002,3758960.56473000022
"5236734",,,WCA,Cinnamomum camphora,Lauraceae,Cinnamomum,Asia,45.00000000000,Rounded,Evergreen,Dense to Very Dense,,19.00000000000,24.00000000000,30.00000000000,45.00000000000,,,,92507.00000000000,Riverside,Riverside,Inland Empire,467365.37317899999,3758870.69364999980
